Nom du chantier,Catégorie,Chef de projet ou intervenant,Objectifs et enjeux clés,Conditions de réussite (Inféré),Ruptures technologiques associées,Source,Colonne 1,Colonne 2,Colonne 3,Colonne 4,Colonne 5,Colonne 6,Colonne 7,Colonne 8,Colonne 9,Colonne 10,Colonne 11,Colonne 12,Colonne 13,Colonne 14,Colonne 15,Colonne 16,Colonne 17,Colonne 18,Colonne 19
Déployer massivement le vélo,Usages bas carbone / Transports,Laura Foglia,Atteindre entre 30% et 50% des déplacements quotidiens à vélo (potentiel maximal) ; réduire la dépendance à l'automobile.,"Réaffirmation de l'engagement de l'État via des financements pluriannuels, déploiement d'un réseau continu de pistes cyclables sécurisées, généralisation du stationnement sécurisé et apaisement de la circulation automobile.","Vélo à assistance électrique (VAE), vélos cargos, vélomobiles, vélo-voitures (vélis actifs).",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Etendre les transports en commun,Usages bas carbone / Transports,Laura Foglia,Doubler les kilomètres parcourus par les transports en commun d'ici 2050 ; réalisation du Grand Paris Express et de 26 SERM.,"Vision nationale pour prioriser les projets les plus efficaces, sécurisation financière à long terme pour éviter les ""stop-and-go"", et coordination inter-territoriale via des autorités organisatrices.","Métro automatisé, services express régionaux métropolitains (SERM), cars express.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Généraliser la voiture électrique sobre,Usages bas carbone / Transports,Laurent Perron,Atteindre 100% de ventes de véhicules neufs électriques en 2035 ; décarboner le parc automobile qui représente 22% des émissions françaises.,"Stabilité du cadre réglementaire européen, développement d'une offre de petits véhicules abordables (<15 000€), souveraineté de la filière batteries et maillage dense de bornes de recharge.","Batteries haute densité, bornes de recharge rapide, électronique de puissance, recyclage des métaux critiques.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Massifier le train passagers,Usages bas carbone / Transports,Béatrice Jarrige,Tripler le nombre de voyages en train d'ici 2050 pour décarboner la mobilité longue distance.,"Modernisation et régénération du réseau ferré vieillissant, augmentation de la cadence de livraison du matériel roulant (TGV M), et investissement massif dans les centres de maintenance.","TGV M (plus capacitaire et sobre), ERTMS (système de signalisation européen), automatisation des trains.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Décarboner le secteur aérien,Usages bas carbone / Transports,Béatrice Jarrige,Réduire le trafic aérien (sobriété) et intégrer 70% de carburants durables (SAF) d'ici 2050.,"Maintien de la réglementation RefuelEU, arbitrage sur l'allocation de la biomasse et de l'électricité bas carbone, et limitation des extensions aéroportuaires.","Carburants d'aviation durables (bioSAF et e-SAF), moteur Open Fan (RISE), avion à hydrogène (R&D).",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Relance du fret ferroviaire,Usages bas carbone / Transports,Reuben Fisher,Atteindre 30% de part modale pour le rail d'ici 2050 ; multiplier par 4 l'efficacité par rapport à la route.,"Obligation progressive de recours au rail pour les chargeurs, investissement dans les installations terminales embranchées (ITE) et amélioration de la ponctualité.","Attelage digital automatique (DAC), transformation digitale du réseau (ERTMS), transport combiné.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Electrifier les poids lourds,Usages bas carbone / Transports,Reuben Fisher,Atteindre 100% de ventes de poids lourds électriques en 2050 ; réduire les 27 Mt de CO2e du fret routier.,"Réduction du surcoût à l'achat (camions 3x plus chers), déploiement de bornes de recharge haute puissance (MCS), et stabilité des prix de l'électricité.","Megawatt Charging System (MCS), batteries stationnaires (BES), recharge dynamique (R&D).",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Massifier la rénovation des logements,Efficacité énergétique / Logement,Rémi Babut,Réaliser 800 000 à 1 000 000 de rénovations globales par an d'ici 2040-2050 ; réduire la dépendance thermique.,"Sanctuarisation des aides publiques, montée en compétence massive des artisans (200 000 emplois à créer), et généralisation de l'accompagnement (MonAccompagnateurRénov).","Diagnostic de Performance Énergétique (DPE) opposable, industrialisation de la rénovation, matériaux isolants biosourcés.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Déployer les pompes à chaleur,Efficacité énergétique / Logement,Rémi Babut,"Installer 1,5 million de PAC par an d'ici 2030 ; remplacer les chaudières gaz et fioul.","Maintien d'un écart de prix favorable entre électricité et gaz, stabilité des aides MaPrimeRénov, et formation de dizaines de milliers d'installateurs spécialisés.","Pompes à chaleur (PAC) air-eau et air-air, fluides frigorigènes à bas PRG (R290, Propane).",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Maîtriser le déploiement des centres de données,Usages sobres / Numérique,Maxime Efoui-Hess,Limiter la consommation électrique des centres de données à 40 TWh en 2050 pour éviter les conflits d'usages électriques.,"Priorisation politique des raccordements au réseau, valorisation obligatoire de la chaleur fatale, et logique de rapatriement des usages hébergés à l'étranger.","Intelligence Artificielle générative, serveurs haute densité, refroidissement liquide.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
